289178,91666,36946,20382,12836,8433,5818,4435,3299,2529,2006,1586,1364,1086,877,789,639,597,493,450,341,329,279,239,231,221,196,153,152,135,148,121,114,85,97,75,83,67,60,66,53,63,60,51,46,37,32,31,26,29,32,30,28,26,23,21,16,16,17,13,17,12,12,13,19,5,8,11,8,7,10,4,10,6,5,2,7,4,3,3,3,3,2,4,2,3,1,3,4,2,1,0,0,2,2,0,0,1,0,1,1,1,0,0,4,2,0,0,2,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,3,2,0,1,2,0,0,0,3,0,1,2,1,1,1,3,0,2,5,4,5,1,5,3,4,0,3,1,5,2,3,3,3,5,2,5,8,2,4,7,2,4,10,11,10,6,6,8,19,8,11,14,13,12,10,18,19,20,18,20,14,21,36,30,24,31,32,33,23,52,50,60,49,53,80,66,59,71,102,89,103,116,122,147,125,142,152,184,197,186,219,234,238,296,279,316,334,388,442,512,510,689,695,826,873,925,1166,1284,1538,1841,2175,2729,3279,4131,5500,6999,9136,12612,17367,25218,38041,62812,121381,257331,
69944,31014,16244,9696,6222,4433,2943,2123,1662,1254,967,828,677,512,476,399,344,286,230,218,199,183,133,136,123,106,85,95,87,68,58,62,61,53,55,45,50,49,39,26,28,34,35,25,24,23,29,20,26,16,8,20,15,22,13,11,18,10,13,8,13,13,7,8,7,7,6,9,5,5,4,8,9,4,5,5,3,5,2,3,1,1,2,2,2,2,0,0,6,3,2,0,0,1,1,2,3,0,0,1,2,0,0,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,1,2,0,1,2,2,0,0,2,0,3,1,0,0,0,0,5,3,0,1,2,3,2,3,3,1,3,0,2,2,2,1,0,3,8,4,3,3,5,4,4,7,4,6,5,8,7,8,9,14,7,13,12,9,10,17,12,9,17,17,17,22,17,25,19,28,26,20,35,35,32,31,41,36,39,58,52,52,65,57,74,64,76,81,90,81,99,128,125,167,153,174,191,190,204,290,230,302,349,352,408,458,497,583,721,882,976,1168,1484,1857,2416,2982,3952,5055,6681,8837,11677,16277,23657,36180,61671,97147,103096,
30004,15227,8941,5589,3714,2613,1830,1468,1077,925,726,589,498,383,316,293,226,202,184,152,120,124,98,107,80,76,71,64,53,43,43,40,39,35,43,38,26,35,32,32,35,13,21,25,22,18,14,19,17,22,10,15,17,17,17,11,8,11,8,6,6,8,9,4,5,7,6,4,5,5,3,6,5,4,5,3,3,2,2,3,1,1,1,0,2,0,1,2,3,0,2,1,1,0,2,1,1,0,1,1,0,2,0,0,1,1,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,3,2,1,2,2,0,2,0,2,2,3,1,0,2,1,2,3,3,0,5,1,1,0,5,2,6,2,2,1,2,7,4,4,3,4,5,3,5,5,3,5,4,9,2,9,7,6,8,7,5,3,7,8,8,12,10,16,15,25,7,19,15,16,13,33,30,20,23,28,23,34,34,35,38,46,48,39,43,51,54,60,60,66,70,86,84,109,92,133,105,145,146,186,193,222,269,290,301,342,378,457,533,632,742,952,1175,1470,1936,2392,3134,3837,4730,5999,8026,10783,15548,23252,37248,53587,54488,41578,
16038,9084,5323,3544,2569,1798,1435,1073,816,707,577,414,358,301,276,214,167,144,133,131,100,87,91,74,57,61,47,49,52,42,35,37,35,23,30,19,16,16,15,21,15,20,14,9,17,16,10,16,9,12,16,9,2,12,11,12,17,12,7,7,5,9,6,5,3,2,5,6,1,4,3,5,5,3,4,4,1,0,3,0,3,0,1,0,1,2,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,2,2,1,1,2,0,2,1,2,2,2,1,2,2,1,0,1,1,2,1,2,0,2,1,2,4,2,3,1,0,2,1,2,4,4,1,2,7,4,2,2,3,7,4,1,7,9,6,5,9,6,6,9,6,7,5,10,6,6,20,11,13,13,20,16,17,23,21,15,16,24,21,27,23,22,33,34,33,34,40,37,49,46,63,46,68,87,63,79,89,111,123,139,125,135,164,172,231,206,266,321,367,487,575,654,762,988,1262,1560,1938,2351,3026,3742,4537,5946,7819,10738,16206,24230,33644,33610,26876,20917,
9784,5419,3560,2484,1709,1330,1003,819,672,523,478,388,312,276,220,175,144,120,99,88,85,85,71,82,46,47,50,49,34,36,34,32,32,22,28,30,27,19,17,10,19,18,14,13,9,10,7,10,20,15,9,7,9,11,11,9,10,8,3,5,10,6,7,3,7,4,3,3,4,3,5,2,4,2,4,1,1,4,4,1,3,3,2,1,1,1,0,1,1,0,1,2,1,0,0,0,0,2,0,1,2,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,2,0,1,1,1,4,3,1,2,1,4,1,3,2,1,1,3,1,4,1,2,1,2,1,4,1,1,2,2,4,3,8,4,2,1,5,4,2,3,2,6,3,5,3,6,5,4,4,4,6,6,9,5,15,6,13,12,14,18,14,14,14,12,17,15,13,21,19,18,24,22,22,40,27,21,21,28,34,34,39,42,56,51,58,68,67,77,79,94,102,116,141,168,165,179,227,271,286,372,438,542,597,780,883,1017,1328,1615,2001,2403,2933,3543,4569,6001,8032,11623,17151,21952,21645,18491,14872,12115,
6418,3686,2483,1839,1322,1012,745,663,506,471,380,311,263,194,197,172,147,118,96,92,72,68,53,38,48,42,41,37,25,44,22,27,31,27,23,18,23,21,20,17,14,15,7,14,12,11,10,15,10,8,11,8,3,9,6,7,6,5,7,4,5,3,5,3,1,3,0,2,6,2,6,2,5,3,2,1,2,4,1,3,1,2,1,2,3,2,1,1,3,1,3,1,2,1,1,1,1,0,0,1,0,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,3,1,1,1,2,3,5,0,0,1,3,2,2,1,1,1,3,3,0,4,1,4,2,3,3,3,3,6,4,3,3,1,8,4,2,2,6,3,6,4,5,2,6,6,5,3,2,4,6,5,7,7,9,6,7,9,8,7,9,14,11,12,18,17,13,15,13,10,14,20,19,11,17,22,25,23,17,24,32,37,27,46,40,63,55,62,35,59,79,87,104,103,110,146,159,187,199,242,283,323,393,481,520,649,815,926,1131,1334,1739,1988,2362,2897,3637,4653,6153,8464,12353,15782,14745,12857,11312,9105,7717,
4268,2524,1814,1306,1044,792,612,571,440,369,309,288,200,180,171,123,94,99,85,74,70,58,45,47,43,39,38,24,31,37,27,28,24,23,24,17,10,15,21,20,20,14,17,15,11,17,12,8,12,12,8,9,8,4,10,7,6,6,5,2,3,7,9,5,3,5,2,5,1,6,1,5,1,3,2,2,0,0,1,1,3,2,2,1,3,0,2,1,1,0,3,1,1,1,3,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,2,2,2,0,1,0,2,1,0,2,2,1,1,2,0,2,3,1,2,0,6,3,3,0,7,2,1,2,3,2,4,3,2,1,3,4,1,0,1,2,1,2,0,6,10,3,7,4,3,3,3,2,4,4,7,3,4,5,9,6,5,8,3,6,5,4,13,7,6,7,8,14,5,8,11,18,14,15,14,14,11,12,24,16,23,24,23,23,19,17,29,30,38,35,45,59,60,67,74,74,72,89,120,148,149,180,167,190,238,276,301,364,435,500,583,733,776,966,1209,1385,1624,1923,2346,2855,3633,4717,6476,9188,11437,10417,9179,8532,7020,6121,5124,
3072,1905,1454,1026,760,595,514,453,365,294,253,214,185,158,134,122,109,96,73,70,60,63,54,44,42,40,31,32,24,31,26,22,17,16,16,12,13,25,14,20,10,15,10,10,13,5,9,11,8,9,9,8,6,8,11,3,10,7,9,3,1,4,6,4,2,1,2,2,5,2,1,0,1,1,5,2,3,1,0,0,2,1,1,1,0,1,0,3,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,2,1,1,1,3,4,2,0,3,3,1,2,0,2,3,0,5,7,1,2,2,3,1,0,3,1,1,2,1,2,2,8,5,2,5,8,3,5,3,5,7,4,2,5,6,7,1,5,5,9,7,9,3,3,11,4,10,6,7,7,6,9,13,15,12,7,13,18,15,22,20,20,25,26,30,30,31,44,50,47,41,54,64,60,75,78,115,117,138,160,177,176,211,245,296,332,338,437,506,632,701,779,967,1235,1356,1710,1989,2411,2888,3623,5009,7131,8585,7647,6864,6245,5636,4813,4043,3650,
2338,1481,1042,785,626,458,419,347,288,257,214,194,136,129,116,107,100,72,69,66,53,47,50,39,39,29,29,22,30,28,34,19,14,26,18,16,14,19,15,25,16,19,16,11,11,12,9,9,12,7,4,10,8,9,3,2,4,3,7,6,2,3,4,3,1,4,3,0,3,1,3,0,0,5,1,2,2,1,1,0,0,0,0,0,0,0,2,0,0,2,1,3,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,0,0,2,2,4,1,2,1,2,2,0,4,1,2,2,2,1,3,2,2,1,3,3,1,3,2,3,4,3,0,4,2,1,3,1,7,6,4,5,2,4,4,3,4,5,4,7,4,1,6,5,2,7,6,5,7,5,13,12,9,2,18,7,9,10,7,13,21,16,21,15,17,18,33,34,27,20,44,37,45,41,52,61,76,85,93,111,101,114,157,164,174,213,236,216,302,340,406,451,555,618,759,818,1009,1206,1423,1708,2054,2409,2947,4051,5623,6704,6047,5070,4859,4440,3984,3390,2951,2606,
1800,1185,916,644,525,418,345,308,238,196,179,170,135,121,116,95,87,74,76,58,54,39,38,46,41,37,31,29,27,16,16,21,24,16,17,13,23,16,15,12,17,12,9,7,12,13,9,2,7,8,6,9,3,8,5,10,4,3,2,7,5,6,6,6,1,5,0,3,3,0,3,1,2,0,0,2,0,2,2,2,2,2,0,0,1,1,1,0,1,2,0,1,1,0,0,1,2,0,3,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,2,0,0,3,0,0,3,1,1,0,2,0,1,2,2,2,0,0,1,1,0,2,3,0,1,1,1,1,3,3,2,2,1,3,2,1,3,0,1,3,3,7,2,4,2,2,5,1,1,5,6,5,7,3,5,5,6,8,7,9,9,7,5,12,8,11,11,13,17,20,17,16,17,20,24,22,28,30,39,27,35,48,52,60,64,71,99,93,106,128,160,143,161,158,213,213,272,318,347,390,478,575,590,745,903,1061,1242,1422,1712,2050,2452,3331,4511,5355,4710,4175,3902,3548,3291,2869,2503,2226,1941,
