1094326,1094266,0.9999
711710,706887,0.9932
762418,762374,0.9999
919746,919654,0.9999
658001,656601,0.9979
802985,802768,0.9997
798101,798101,1.0000
1154870,1154592,0.9998
937770,934957,0.9970
934233,934977,1.0008
582981,582766,0.9996
1261694,1261730,1.0000
1145221,1145143,0.9999
696792,695949,0.9988
676850,676219,0.9991
677359,677162,0.9997
1096651,1096627,1.0000
1150889,1150916,1.0000
927979,927979,1.0000
774276,774263,1.0000
1025534,1025389,0.9999
1063980,1063942,1.0000
961720,961720,1.0000
833525,831152,0.9972
1033284,1033298,1.0000
590001,589360,0.9989
585327,585099,0.9996
881421,881417,1.0000
976917,976535,0.9996
762181,759005,0.9958
1297551,1297445,0.9999
1314525,1314502,1.0000
802726,800375,0.9971
1297655,1297859,1.0002
905846,905764,0.9999
787638,787690,1.0001
709521,708681,0.9988
1021488,1021488,1.0000
1005401,1004434,0.9990
671153,660219,0.9837
