413966,74127,20529,7682,4223,2447,1692,1206,1057,827,660,545,419,389,323,298,310,378,221,221,120,141,114,119,117,72,80,124,77,72,90,140,92,71,129,120,86,33,45,110,56,58,37,53,32,27,40,43,29,21,23,21,15,25,40,9,31,33,25,20,19,13,30,124,20,14,14,28,19,11,17,12,67,37,51,22,7,1,6,5,14,7,3,12,4,20,22,4,6,6,165,2,2,0,4,4,9,7,4,5,7,3,1,0,56,3,5,5,0,0,28,19,6,1,2,2,88,127,29,2,0,1,80,10,0,2,3,9,2,6,3,0,1,5,0,45,10,5,3,2450,0,1,2,1,2,1,15,20,4,2,7,11,2,80,5,0,88,5,5,0,0,12,0,0,0,1,18,26,0,1,215,13,10,6,10,8,2,4,29,5,23,3,6,56,9,3,105,27,7,4,5,480,12,6,4,15,12,14,26,6,6,12,11,14,20,7,7,6,18,11,25,49,19,24,17,90,28,27,38,40,83,157,61,1202,59,68,86,139,92,100,92,102,114,126,150,267,193,307,266,304,301,397,460,651,727,725,904,1181,1632,2365,3352,5695,16073,46603,180177,1210728,
53911,36871,10830,5308,2589,1621,1082,904,658,555,511,402,355,294,240,243,206,187,158,168,127,123,104,84,71,66,87,99,49,49,56,83,41,98,80,46,49,39,61,52,48,42,22,31,22,32,22,22,22,37,33,14,18,14,14,17,9,21,15,9,5,9,5,17,22,14,12,17,15,10,18,8,7,6,4,1,2,3,3,5,6,5,8,4,4,14,6,19,6,7,4,1,2,11,1,1,1,0,1,1,1,2,3,1,2,0,4,0,2,0,1,2,5,0,3,2,1,3,1,3,0,1,0,1,4,1,4,5,6,0,1,2,12,7,0,4,0,0,1,5,5,1,2,0,0,2,0,0,0,0,0,1,10,0,2,0,1,1,0,1,1,1,1,1,1,1,2,1,0,7,5,4,2,7,2,0,2,4,7,0,5,7,6,1,2,7,6,10,7,1,9,5,4,4,6,9,6,9,5,37,4,9,10,13,9,9,9,13,4,14,18,27,27,19,23,50,30,33,52,53,72,56,77,51,154,79,104,142,99,96,133,162,172,160,165,176,205,261,267,259,340,306,350,532,671,698,930,1370,1622,2849,7429,13411,24491,80925,274690,140637,
21641,10545,8384,3639,1971,1178,796,640,528,443,307,324,273,268,195,177,176,146,140,109,155,99,71,64,59,47,107,57,60,47,85,40,42,84,39,43,29,41,36,38,72,24,17,15,27,26,22,10,20,16,10,12,9,10,11,7,8,8,14,13,10,16,10,8,15,4,9,2,2,3,1,4,1,4,5,3,3,3,1,5,2,5,3,3,3,0,6,2,1,2,1,14,2,2,45,0,0,0,1,2,0,1,0,2,0,6,2,2,0,0,1,2,16,0,1,4,1,6,1,1,0,3,1,11,1,1,8,1,0,1,1,1,1,1,0,3,0,6,20,3,1,2,0,0,0,3,0,1,3,0,0,0,0,0,5,1,4,0,3,2,3,3,2,12,0,4,1,1,1,2,1,3,5,2,1,2,3,10,2,3,6,107,30,4,1,15,3,16,4,4,9,8,5,8,6,16,12,11,4,12,7,11,11,9,5,11,18,24,32,33,33,37,25,40,46,49,55,51,62,49,56,57,71,66,75,61,66,67,86,83,126,119,117,140,146,169,178,198,282,312,444,353,465,552,602,838,1256,1985,4295,7752,10342,12031,46563,146221,74608,27672,
8522,5015,3521,2471,1643,1092,746,412,316,289,422,241,212,142,160,144,130,158,101,77,59,69,69,55,35,66,53,39,32,27,19,102,46,40,40,24,32,50,49,63,24,31,23,20,21,16,24,11,5,13,16,12,12,12,12,19,7,7,1,11,23,9,5,10,4,4,3,1,4,0,1,1,2,2,4,2,4,1,1,1,0,1,4,0,0,1,0,4,1,5,2,2,1,1,0,3,0,0,1,3,11,0,1,0,14,0,0,0,1,10,0,2,3,0,0,0,0,1,0,2,2,1,0,0,0,0,2,1,22,25,5,0,2,0,1,0,7,0,0,0,1,2,1,1,0,0,0,2,0,0,0,1,13,2,7,2,4,5,8,20,7,4,3,14,2,8,7,3,6,5,7,5,4,3,5,10,3,5,1,3,10,5,7,7,8,4,5,6,5,6,6,2,5,14,9,10,9,12,13,17,14,35,23,24,18,32,18,31,33,25,41,19,23,34,25,32,33,24,32,39,73,56,54,57,73,71,62,60,82,91,100,102,197,139,139,217,282,249,257,221,327,359,512,627,1000,1827,3072,3521,4598,7182,9072,31284,97142,47058,17281,11144,
4817,2933,2666,1595,1287,761,582,328,269,221,218,146,145,118,102,85,122,106,110,76,70,62,58,32,95,61,33,20,35,64,29,29,24,31,19,21,15,54,15,17,9,22,44,16,15,8,13,16,9,12,8,9,17,9,15,27,11,9,10,22,8,12,5,3,5,63,7,9,5,3,36,8,5,2,0,2,2,1,1,1,2,3,0,2,2,2,1,2,1,3,1,0,2,1,2,0,0,0,0,1,3,0,7,1,0,1,1,1,0,0,2,1,0,0,0,0,2,1,0,3,0,2,1,2,0,0,0,0,1,0,1,0,0,3,2,4,2,0,0,0,2,0,93,22,2,2,3,0,4,2,0,2,0,10,5,2,1,3,4,6,2,0,2,7,3,2,0,3,4,0,1,0,1,2,1,3,1,2,3,13,6,5,3,3,1,6,16,10,17,15,14,13,22,10,14,21,7,19,11,32,9,18,8,4,7,6,15,14,18,18,18,20,31,18,25,34,34,32,53,53,60,67,64,77,53,116,55,81,91,103,111,88,106,122,119,158,179,244,315,264,361,549,629,1213,1683,1429,2444,2914,4578,6731,20305,78883,33279,12713,7611,5270,
3089,1778,1580,1159,839,668,413,306,261,178,127,106,122,80,78,99,125,58,65,58,47,64,43,63,121,70,27,31,27,38,28,19,26,45,20,21,17,17,15,17,23,4,37,8,11,11,5,31,21,7,17,20,13,4,9,8,14,11,5,3,2,7,7,7,4,0,5,1,5,1,2,1,1,1,1,5,2,1,0,0,3,2,0,0,2,0,1,1,2,4,0,0,1,0,0,0,0,0,0,2,0,2,1,0,7,1,0,0,1,1,0,1,2,0,1,1,1,1,4,3,1,3,0,0,0,0,0,0,1,0,1,7,0,0,0,1,1,0,1,0,0,0,0,1,0,1,2,0,0,0,7,6,1,3,0,0,0,3,0,2,3,0,0,1,3,0,3,3,2,4,323,4,5,5,6,7,11,11,11,10,8,29,13,7,14,6,7,29,8,9,5,25,3,3,5,3,10,8,6,5,11,14,8,17,30,25,21,12,28,81,36,27,31,39,35,50,64,40,37,33,35,49,50,125,70,88,71,79,81,71,88,101,123,100,142,170,250,253,339,478,596,876,942,1063,1388,1983,2785,3342,5903,13409,70373,21892,9626,6031,4592,3296,
2356,1035,1064,845,570,509,457,431,191,126,147,126,137,71,64,93,68,51,46,43,33,25,30,105,27,27,16,35,43,80,26,60,22,18,18,18,15,17,10,16,56,17,17,9,10,4,11,16,8,5,8,1,7,38,10,7,8,7,2,13,5,7,19,5,7,11,0,6,6,8,5,5,3,1,1,1,2,1,6,3,2,3,2,0,1,6,4,1,5,2,2,2,1,3,8,3,5,1,8,0,0,0,1,4,0,1,0,1,1,0,0,4,2,2,2,3,3,0,1,1,0,6,0,0,0,0,1,2,6,2,0,0,0,1,1,3,24,2,5,0,0,0,2,6,3,1,4,1,4,124,36,2,1,0,2,2,5,7,9,6,5,9,10,13,11,10,7,12,6,3,7,6,3,2,9,2,5,57,1,3,4,7,18,7,5,8,9,7,12,11,7,11,5,10,12,19,12,18,11,5,5,6,51,36,23,34,29,44,34,55,83,10,40,143,69,26,47,175,124,47,112,70,32,72,63,99,55,41,68,90,108,125,123,179,201,284,276,326,433,547,511,825,1155,1234,1783,2223,2927,4667,11108,143809,15490,7929,5024,3985,2819,2140,
1648,782,736,815,477,316,327,296,214,135,120,114,84,86,84,83,48,68,37,28,25,49,25,44,21,51,16,52,27,66,45,61,58,17,13,11,54,11,12,9,15,15,7,10,4,3,5,4,11,5,5,8,4,6,4,16,6,10,19,2,6,29,3,13,29,6,2,2,4,0,2,3,3,1,1,1,0,4,0,3,6,9,4,1,1,1,1,0,1,2,1,1,3,9,0,0,0,0,0,3,1,5,2,1,0,0,3,1,2,3,5,1,6,3,0,0,0,0,0,1,5,0,1,0,0,6,0,0,2,1,1,0,1,0,2,1,0,0,0,3,0,0,11,4,4,4,4,3,7,4,10,3,9,6,8,11,9,5,4,21,1,1,3,1,7,2,6,6,5,3,2,9,3,2,6,9,3,6,9,8,3,5,2,3,6,5,9,12,18,21,8,8,15,9,10,10,13,13,10,13,15,15,17,18,26,17,17,17,23,13,21,52,114,91,63,28,90,32,27,38,41,22,40,41,61,40,64,72,103,98,99,145,193,154,191,198,340,315,386,514,851,1102,1017,1509,2100,2777,4254,12920,90134,11304,6030,4436,3228,2794,1883,1427,
1277,665,423,578,365,262,194,238,194,139,107,75,55,71,119,38,53,35,36,25,21,17,56,46,14,19,11,55,31,13,11,49,11,13,17,14,11,14,26,21,11,7,12,23,12,8,7,8,6,3,20,6,3,8,8,2,7,2,3,9,14,3,2,2,0,7,2,1,18,4,6,10,1,2,13,1,1,0,0,3,0,2,1,1,1,0,0,1,0,0,0,2,4,1,2,1,0,0,0,4,0,1,0,1,2,0,0,1,1,1,1,0,1,15,1,0,0,0,0,1,0,0,2,0,1,0,2,5,0,1,1,1,2,0,2,2,8,5,6,7,5,5,8,3,6,5,3,7,4,2,2,0,0,3,22,2,2,1,7,0,1,1,0,0,2,2,4,9,0,1,8,5,3,0,3,1,4,6,3,4,87,6,11,4,2,4,6,6,10,12,17,9,16,11,14,9,8,4,19,6,4,10,14,31,24,11,124,27,24,25,19,13,16,16,23,22,24,22,16,37,785,42,49,47,51,101,57,64,78,145,98,114,118,254,183,368,741,525,461,626,812,961,1226,1420,2028,4273,12250,36161,11553,5353,3771,2760,2620,1893,1375,1009,
955,423,328,444,407,276,179,148,216,187,123,77,96,58,100,75,49,45,23,30,25,30,40,25,15,27,18,7,7,10,9,21,10,42,9,68,19,6,21,25,51,16,17,15,14,9,14,6,6,17,3,9,2,2,1,2,1,4,5,4,4,2,0,4,2,0,1,3,3,4,2,3,13,17,0,3,2,5,2,15,2,2,4,4,3,1,0,1,0,0,1,3,1,2,1,0,0,0,1,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,6,1,1,1,1,4,0,1,0,0,1,0,0,2,2,2,3,1,3,1,0,0,0,0,5,1,0,0,1,0,0,2,3,6,1,0,0,0,1,1,2,0,0,1,0,0,0,5,1,5,1,0,1,5,0,3,1,0,4,0,0,2,6,6,12,12,16,8,11,14,5,2,29,16,24,15,6,7,7,7,8,8,26,77,67,46,148,15,14,16,7,13,9,12,20,18,13,22,15,16,40,28,36,64,55,57,46,77,57,79,69,68,142,108,120,163,164,203,286,383,425,591,643,739,1003,1165,1746,2870,10380,31730,11844,4428,3435,2469,2036,1945,1420,1144,736,
749,342,270,293,399,220,156,137,119,160,100,100,64,116,44,39,36,63,33,66,31,50,29,16,13,8,6,11,11,7,10,10,13,37,14,9,9,6,5,48,12,79,13,10,9,47,7,14,21,7,6,18,1,1,2,3,2,4,2,1,4,1,1,3,0,1,4,1,0,0,4,0,3,0,1,1,1,2,0,1,0,2,2,6,9,1,0,0,12,2,1,7,0,28,0,0,1,4,3,1,1,1,1,0,0,4,4,0,1,2,2,1,0,0,4,2,0,2,1,2,1,0,0,1,1,0,4,1,1,0,0,0,0,0,0,0,1,2,2,0,0,1,0,0,1,0,0,1,0,29,1,2,3,1,0,1,0,0,1,3,0,1,0,33,2,1,0,3,1,0,2,2,33,7,9,8,9,11,8,11,11,4,4,3,4,1,1,5,5,6,5,13,33,19,8,14,4,47,58,20,6,12,13,8,249,16,11,19,9,19,14,17,27,25,25,34,31,31,36,48,40,50,60,30,37,48,48,127,62,144,246,236,151,191,251,339,459,563,590,627,797,1044,2410,2751,8746,29425,10406,3918,2819,2276,1839,1567,1427,1033,801,592,
